country,iso,dimension,year,score,scale,source
Thailand,THA,customs,2007,3.03,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,customs,2010,3.02,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,customs,2012,2.96,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,customs,2014,3.209,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,customs,2016,3.105,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,customs,2018,3.14,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,customs,2022,3.3,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,infrastructure,2007,3.16,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,infrastructure,2010,3.16,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,infrastructure,2012,3.08,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,infrastructure,2014,3.405,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,infrastructure,2016,3.124,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,infrastructure,2018,3.14,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,infrastructure,2022,3.7,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,international shipments,2007,3.24,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,international shipments,2010,3.27,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,international shipments,2012,3.21,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,international shipments,2014,3.296,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,international shipments,2016,3.367,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,international shipments,2018,3.46,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,international shipments,2022,3.5,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,logistics competence,2007,3.31,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,logistics competence,2010,3.16,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,logistics competence,2012,2.98,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,logistics competence,2014,3.289,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,logistics competence,2016,3.135,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,logistics competence,2018,3.41,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,logistics competence,2022,3.5,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,overall,2007,3.31,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,overall,2010,3.29,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,overall,2012,3.18,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,overall,2014,3.43,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,overall,2016,3.255,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,overall,2018,3.41,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,overall,2022,3.5,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,timeliness,2007,3.91,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,timeliness,2010,3.73,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,timeliness,2012,3.63,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,timeliness,2014,3.956,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,timeliness,2016,3.56,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,timeliness,2018,3.81,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,timeliness,2022,3.5,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,tracking and tracing,2007,3.25,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,tracking and tracing,2010,3.41,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,tracking and tracing,2012,3.18,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,tracking and tracing,2014,3.452,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,tracking and tracing,2016,3.204,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,tracking and tracing,2018,3.47,1-5 survey scale,World Bank Logistics Performance Index
Thailand,THA,tracking and tracing,2022,3.6,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,customs,2007,2.89,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,customs,2010,2.68,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,customs,2012,2.65,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,customs,2014,2.809,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,customs,2016,2.751,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,customs,2018,2.95,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,customs,2022,3.1,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,infrastructure,2007,2.5,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,infrastructure,2010,2.56,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,infrastructure,2012,2.68,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,infrastructure,2014,3.113,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,infrastructure,2016,2.695,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,infrastructure,2018,3.01,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,infrastructure,2022,3.2,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,international shipments,2007,3,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,international shipments,2010,3.04,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,international shipments,2012,3.14,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,international shipments,2014,3.217,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,international shipments,2016,3.123,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,international shipments,2018,3.16,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,international shipments,2022,3.3,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,logistics competence,2007,2.8,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,logistics competence,2010,2.89,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,logistics competence,2012,2.68,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,logistics competence,2014,3.092,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,logistics competence,2016,2.883,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,logistics competence,2018,3.4,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,logistics competence,2022,3.2,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,overall,2007,2.89,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,overall,2010,2.96,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,overall,2012,3,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,overall,2014,3.155,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,overall,2016,2.977,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,overall,2018,3.27,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,overall,2022,3.3,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,timeliness,2007,3.22,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,timeliness,2010,3.44,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,timeliness,2012,3.64,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,timeliness,2014,3.49,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,timeliness,2016,3.498,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,timeliness,2018,3.67,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,timeliness,2022,3.3,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,tracking and tracing,2007,2.9,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,tracking and tracing,2010,3.1,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,tracking and tracing,2012,3.16,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,tracking and tracing,2014,3.192,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,tracking and tracing,2016,2.843,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,tracking and tracing,2018,3.45,1-5 survey scale,World Bank Logistics Performance Index
Vietnam,VNM,tracking and tracing,2022,3.4,1-5 survey scale,World Bank Logistics Performance Index
