date,section,commodity,specification,price_php_per_kg,source_pdf
2020-03-18,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,44.00,Price-Monitoring-March-18-2020.pdf
2020-03-18,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-18-2020.pdf
2020-03-18,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-March-18-2020.pdf
2020-03-19,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-19-2020.pdf
2020-03-19,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-19-2020.pdf
2020-03-19,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,34.00,Price-Monitoring-March-19-2020.pdf
2020-03-19,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,40.00,Price-Monitoring-March-19-2020.pdf
2020-03-19,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-March-19-2020.pdf
2020-03-19,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,46.00,Price-Monitoring-March-19-2020.pdf
2020-03-19,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-19-2020.pdf
2020-03-19,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-March-19-2020.pdf
2020-03-20,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,45.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,34.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,40.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,48.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-March-20-2020.pdf
2020-03-20,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-March-20-2020.pdf
2020-03-21,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-March-21-2020.pdf
2020-03-21,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,40.00,Price-Monitoring-March-21-2020.pdf
2020-03-21,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,32.00,Price-Monitoring-March-21-2020.pdf
