pmo,port_type,rolling_cargo_type,movement_type,service area,month,year,mont_year,Quarter,volume_units
pmo argao,lgu port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,8W-10W  20000-25000,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,10W  26000-over,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,Heavy Equipment,inbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,Motor Cycle/ Motor Bike,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,4W  1100-2300,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,4W  2400-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,6W  4800-7500,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,6W  7600-15000,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,8W-10W  20000-25000,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,10W  26000-over,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,lgu port,Heavy Equipment,outbound,domestic,january,2022,Jan-22,Q1_2022,
pmo argao,private port,Motor Cycle/ Motor Bike,inbound,domestic,january,2022,Jan-22,Q1_2022,3212
pmo argao,private port,4W  1100-2300,inbound,domestic,january,2022,Jan-22,Q1_2022,2044
pmo argao,private port,4W  2400-over,inbound,domestic,january,2022,Jan-22,Q1_2022,3025
pmo argao,private port,6W  4800-7500,inbound,domestic,january,2022,Jan-22,Q1_2022,1168
pmo argao,private port,6W  7600-15000,inbound,domestic,january,2022,Jan-22,Q1_2022,1114
