year,ticker,prev_close,close,return_pct,source
2016,CBC,37.2000,38.0000,2.15,PSE Edge
2017,CBC,38.0000,33.3000,-12.37,PSE Edge
2018,CBC,33.3000,27.1000,-18.62,PSE Edge
2019,CBC,27.1000,25.0500,-7.56,PSE Edge
2020,CBC,25.0500,24.9500,-0.40,PSE Edge
2021,CBC,24.9500,26.0000,4.21,PSE Edge
2022,CBC,26.0000,27.4500,5.58,PSE Edge
2023,CBC,27.4500,30.8500,12.39,PSE Edge
2024,CBC,30.8500,63.5000,105.83,PSE Edge
2025,CBC,63.5000,57.0000,-10.24,PSE Edge
2026,CBC,57.0000,53.2000,-6.67,PSE Edge
2015,CNPF,16.3400,16.4800,0.86,PSE Edge
2016,CNPF,16.4800,16.1800,-1.82,PSE Edge
2017,CNPF,16.1800,16.1800,0.00,PSE Edge
2018,CNPF,16.1800,15.2000,-6.06,PSE Edge
2019,CNPF,15.2000,15.1800,-0.13,PSE Edge
2020,CNPF,15.1800,17.5000,15.28,PSE Edge
2021,CNPF,17.5000,29.2500,67.14,PSE Edge
2022,CNPF,29.2500,25.8000,-11.79,PSE Edge
2023,CNPF,25.8000,30.9500,19.96,PSE Edge
2024,CNPF,30.9500,41.9500,35.54,PSE Edge
2025,CNPF,41.9500,39.0000,-7.03,PSE Edge
2026,CNPF,39.0000,32.0000,-17.95,PSE Edge
2021,CNVRG,14.9000,31.9000,114.09,PSE Edge
2022,CNVRG,31.9000,15.8800,-50.22,PSE Edge
2023,CNVRG,15.8800,8.3800,-47.23,PSE Edge
2024,CNVRG,8.3800,16.1400,92.60,PSE Edge
2025,CNVRG,16.1400,15.3200,-5.08,PSE Edge
2026,CNVRG,15.3200,9.1100,-40.54,PSE Edge
2015,COSCO,8.6500,8.2000,-5.20,PSE Edge
2016,COSCO,8.2000,8.5000,3.66,PSE Edge
2017,COSCO,8.5000,7.7000,-9.41,PSE Edge
2018,COSCO,7.7000,6.7100,-12.86,PSE Edge
2019,COSCO,6.7100,6.8400,1.94,PSE Edge
2020,COSCO,6.8400,5.6500,-17.40,PSE Edge
2021,COSCO,5.6500,5.2000,-7.96,PSE Edge
2022,COSCO,5.2000,4.6700,-10.19,PSE Edge
2023,COSCO,4.6700,4.6200,-1.07,PSE Edge
2024,COSCO,4.6200,5.3800,16.45,PSE Edge
2025,COSCO,5.3800,6.9900,29.93,PSE Edge
2026,COSCO,6.9900,7.8900,12.88,PSE Edge
2025,CREC,3.2100,4.2800,33.33,PSE Edge
2026,CREC,4.2800,4.9000,14.49,PSE Edge
2023,CREIT,2.2900,2.5600,11.79,PSE Edge
2024,CREIT,2.5600,3.0500,19.14,PSE Edge
2025,CREIT,3.0500,3.5700,17.05,PSE Edge
2026,CREIT,3.5700,3.1900,-10.64,PSE Edge
2015,DD,7.5000,24.4000,225.33,PSE Edge
2016,DD,24.4000,38.4000,57.38,PSE Edge
2017,DD,38.4000,39.7000,3.39,PSE Edge
2018,DD,39.7000,17.8400,-55.06,PSE Edge
2019,DD,17.8400,18.9000,5.94,PSE Edge
2020,DD,18.9000,14.9000,-21.16,PSE Edge
