date,ticker,close,value_php,source
2021-12-02,AGI,11.12,27008462.0,PSE Edge
2021-12-02,AGI,11.12,27008462.0,PSE Edge
2021-12-03,AGI,11.1,21259280.0,PSE Edge
2021-12-06,AGI,11.36,37711524.0,PSE Edge
2021-12-07,AGI,11.3,24680970.0,PSE Edge
2021-12-09,AGI,11.86,139947074.0,PSE Edge
2021-12-10,AGI,12.0,78871192.0,PSE Edge
2021-12-13,AGI,12.2,97564148.0,PSE Edge
2021-12-13,AGI,12.2,97564148.0,PSE Edge
2021-12-14,AGI,12.2,94147412.0,PSE Edge
2021-12-15,AGI,11.7,117625316.0,PSE Edge
2021-12-15,AGI,11.7,117625316.0,PSE Edge
2021-12-15,AGI,11.7,117625316.0,PSE Edge
2021-12-16,AGI,11.84,98300846.0,PSE Edge
2021-12-17,AGI,12.0,62444142.0,PSE Edge
2021-12-20,AGI,11.8,46100200.0,PSE Edge
2021-12-21,AGI,12.0,1447607624.0,PSE Edge
2021-12-22,AGI,11.9,13019830.0,PSE Edge
2021-12-23,AGI,12.0,42898644.0,PSE Edge
2021-12-23,AGI,12.0,42898644.0,PSE Edge
2021-12-24,AGI,12.0,4583100.0,PSE Edge
2021-12-27,AGI,11.96,6701054.0,PSE Edge
2021-12-28,AGI,12.16,51513126.0,PSE Edge
2021-12-29,AGI,12.32,92648986.0,PSE Edge
2021-12-31,AGI,11.8,83843420.0,PSE Edge
2022-01-03,AGI,11.62,50180902.0,PSE Edge
2022-01-05,AGI,11.58,32191856.0,PSE Edge
2022-01-06,AGI,11.5,29644824.0,PSE Edge
