iso3,country,year,residence,indicator,pct,source
AFG,Afghanistan,2007,rural,handwashing_basic,26.3072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,rural,sanitation_basic,27.7733,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,rural,sanitation_safely_managed,14.6341,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,rural,water_basic,34.7739,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,rural,water_safely_managed,13.8412,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,total,handwashing_basic,35.5069,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,total,open_defecation,20.5131,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,total,sanitation_basic,30.8753,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,total,sanitation_safely_managed,14.43,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,total,water_basic,42.4295,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,total,water_safely_managed,16.6502,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,urban,handwashing_basic,66.1101,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,urban,sanitation_basic,41.1945,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,urban,sanitation_safely_managed,13.7511,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,urban,water_basic,67.8962,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2007,urban,water_safely_managed,25.9946,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,rural,handwashing_basic,26.3072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,rural,sanitation_basic,29.0314,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,rural,sanitation_safely_managed,15.3024,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,rural,water_basic,37.0168,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,rural,water_safely_managed,14.7791,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,total,handwashing_basic,35.5893,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,total,open_defecation,19.9362,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,total,sanitation_basic,32.2737,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,total,sanitation_safely_managed,15.1171,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,total,water_basic,44.6538,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,total,water_safely_managed,17.5543,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,urban,handwashing_basic,66.1101,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,urban,sanitation_basic,42.935,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,urban,sanitation_safely_managed,14.5077,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,urban,water_basic,69.7656,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2008,urban,water_safely_managed,26.6795,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,rural,handwashing_basic,26.3072,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,rural,sanitation_basic,30.2778,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,rural,sanitation_safely_managed,15.9646,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,rural,water_basic,39.2736,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,rural,water_safely_managed,15.6286,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,total,handwashing_basic,35.672,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,total,open_defecation,19.3602,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,total,sanitation_basic,33.6691,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,total,sanitation_safely_managed,15.8015,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFG,Afghanistan,2009,total,water_basic,46.8886,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
