scope,year,residence,indicator,pct,source
AFR,2010,rural,sanitation_basic,20.9855,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,rural,sanitation_safely_managed,17.4196,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,rural,water_basic,40.6023,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,rural,water_safely_managed,10.3481,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,total,open_defecation,23.3923,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,total,sanitation_basic,29.9513,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,total,sanitation_safely_managed,21.8039,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,total,water_basic,56.316,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,total,water_safely_managed,24.688,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,urban,open_defecation,6.9241,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,urban,sanitation_basic,44.5433,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,urban,sanitation_safely_managed,29.0423,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,urban,water_basic,82.1764,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2010,urban,water_safely_managed,48.3633,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,rural,handwashing_basic,15.2282,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,rural,open_defecation,33.3594,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,rural,sanitation_basic,21.145,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,rural,sanitation_safely_managed,17.5994,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,rural,water_basic,41.4732,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,rural,water_safely_managed,10.6089,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,total,handwashing_basic,24.3178,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,total,open_defecation,23.3012,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,total,sanitation_basic,30.2652,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,total,sanitation_safely_managed,22.0234,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,total,water_basic,57.0525,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,total,water_safely_managed,25.0603,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,urban,handwashing_basic,39.136,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,urban,open_defecation,6.9366,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,urban,sanitation_basic,44.9287,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,urban,sanitation_safely_managed,29.2356,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,urban,water_basic,82.3704,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2011,urban,water_safely_managed,48.6193,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,rural,handwashing_basic,15.8719,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,rural,open_defecation,32.6764,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,rural,sanitation_basic,21.557,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,rural,sanitation_safely_managed,17.9486,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,rural,water_basic,42.394,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,rural,water_safely_managed,11.0276,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,total,handwashing_basic,25.2198,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,total,open_defecation,22.6759,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,total,sanitation_basic,30.8425,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,total,sanitation_safely_managed,22.4065,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,total,water_basic,57.9723,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,total,water_safely_managed,25.729,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,urban,handwashing_basic,40.1246,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,urban,open_defecation,6.7605,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,urban,sanitation_basic,45.45,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,urban,sanitation_safely_managed,29.5143,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,urban,water_basic,82.7356,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2012,urban,water_safely_managed,49.1696,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,rural,handwashing_basic,16.5065,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,rural,open_defecation,31.9832,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,rural,sanitation_basic,21.9758,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,rural,sanitation_safely_managed,18.2927,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,rural,water_basic,43.3207,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,rural,water_safely_managed,11.4625,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,total,handwashing_basic,25.778,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,total,open_defecation,22.0471,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,total,sanitation_basic,31.4357,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,total,sanitation_safely_managed,22.7926,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,total,water_basic,58.8956,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,total,water_safely_managed,26.4229,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,urban,handwashing_basic,40.2365,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,urban,open_defecation,6.5802,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,urban,sanitation_basic,45.9949,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,urban,sanitation_safely_managed,29.8098,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,urban,water_basic,83.1117,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2013,urban,water_safely_managed,49.7528,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,rural,handwashing_basic,15.7534,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,rural,open_defecation,31.2625,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,rural,sanitation_basic,22.4042,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
