iso3,year,indicator,who_gho,world_bank,abs_diff,source
IDN,2021,open_defecation,5.0000,5.4716,0.4716,WHO GHO (rounded) vs World Bank WDI
MAR,2009,open_defecation,12.0000,12.4716,0.4716,WHO GHO (rounded) vs World Bank WDI
SLE,2000,open_defecation,26.0000,25.5286,0.4714,WHO GHO (rounded) vs World Bank WDI
LSO,2008,open_defecation,35.0000,34.5288,0.4712,WHO GHO (rounded) vs World Bank WDI
PAN,2007,open_defecation,6.0000,6.4712,0.4712,WHO GHO (rounded) vs World Bank WDI
PER,2015,open_defecation,8.0000,7.5289,0.4711,WHO GHO (rounded) vs World Bank WDI
KHM,2007,open_defecation,63.0000,63.4710,0.4710,WHO GHO (rounded) vs World Bank WDI
LSO,2015,open_defecation,26.0000,25.5291,0.4709,WHO GHO (rounded) vs World Bank WDI
TJK,2019,open_defecation,1.0000,0.5293,0.4707,WHO GHO (rounded) vs World Bank WDI
IRN,2007,open_defecation,0.0000,0.4704,0.4704,WHO GHO (rounded) vs World Bank WDI
TUV,2006,open_defecation,8.0000,7.5296,0.4704,WHO GHO (rounded) vs World Bank WDI
ZWE,2012,open_defecation,23.0000,23.4694,0.4694,WHO GHO (rounded) vs World Bank WDI
DOM,2004,open_defecation,4.0000,4.4693,0.4693,WHO GHO (rounded) vs World Bank WDI
ATG,2019,open_defecation,0.0000,0.4691,0.4691,WHO GHO (rounded) vs World Bank WDI
CHN,2000,open_defecation,3.0000,2.5310,0.4690,WHO GHO (rounded) vs World Bank WDI
SXM,2001,open_defecation,0.0000,0.4690,0.4690,WHO GHO (rounded) vs World Bank WDI
LCA,2000,open_defecation,8.0000,7.5311,0.4689,WHO GHO (rounded) vs World Bank WDI
PSE,2009,open_defecation,0.0000,0.4689,0.4689,WHO GHO (rounded) vs World Bank WDI
TGO,2017,open_defecation,41.0000,41.4688,0.4688,WHO GHO (rounded) vs World Bank WDI
BIH,2002,open_defecation,1.0000,0.5314,0.4686,WHO GHO (rounded) vs World Bank WDI
GEO,2009,open_defecation,0.0000,0.4686,0.4686,WHO GHO (rounded) vs World Bank WDI
KEN,2003,open_defecation,15.0000,15.4686,0.4686,WHO GHO (rounded) vs World Bank WDI
BDI,2004,open_defecation,2.0000,2.4685,0.4685,WHO GHO (rounded) vs World Bank WDI
GNB,2011,open_defecation,21.0000,20.5315,0.4685,WHO GHO (rounded) vs World Bank WDI
UGA,2024,open_defecation,4.0000,3.5316,0.4684,WHO GHO (rounded) vs World Bank WDI
BLZ,2000,open_defecation,4.0000,4.4683,0.4683,WHO GHO (rounded) vs World Bank WDI
CUB,2003,open_defecation,1.0000,1.4681,0.4681,WHO GHO (rounded) vs World Bank WDI
LKA,2007,open_defecation,3.0000,3.4681,0.4681,WHO GHO (rounded) vs World Bank WDI
RWA,2010,open_defecation,2.0000,2.4681,0.4681,WHO GHO (rounded) vs World Bank WDI
SEN,2022,open_defecation,8.0000,7.5319,0.4681,WHO GHO (rounded) vs World Bank WDI
IRQ,2004,open_defecation,4.0000,3.5320,0.4680,WHO GHO (rounded) vs World Bank WDI
COG,2007,open_defecation,9.0000,8.5322,0.4678,WHO GHO (rounded) vs World Bank WDI
STP,2000,open_defecation,73.0000,72.5322,0.4678,WHO GHO (rounded) vs World Bank WDI
UGA,2001,open_defecation,14.0000,13.5325,0.4675,WHO GHO (rounded) vs World Bank WDI
BTN,2013,open_defecation,3.0000,3.4674,0.4674,WHO GHO (rounded) vs World Bank WDI
VGB,2005,open_defecation,1.0000,0.5328,0.4672,WHO GHO (rounded) vs World Bank WDI
BIH,2003,open_defecation,0.0000,0.4670,0.4670,WHO GHO (rounded) vs World Bank WDI
NPL,2014,open_defecation,27.0000,27.4668,0.4668,WHO GHO (rounded) vs World Bank WDI
NPL,2024,open_defecation,1.0000,0.5332,0.4668,WHO GHO (rounded) vs World Bank WDI
MMR,2017,open_defecation,7.0000,7.4667,0.4667,WHO GHO (rounded) vs World Bank WDI
VCT,2018,open_defecation,3.0000,2.5333,0.4667,WHO GHO (rounded) vs World Bank WDI
MEX,2005,open_defecation,6.0000,6.4666,0.4666,WHO GHO (rounded) vs World Bank WDI
MRT,2020,open_defecation,22.0000,22.4665,0.4665,WHO GHO (rounded) vs World Bank WDI
HTI,2023,open_defecation,18.0000,17.5340,0.4660,WHO GHO (rounded) vs World Bank WDI
LKA,2003,open_defecation,5.0000,4.5343,0.4657,WHO GHO (rounded) vs World Bank WDI
GNB,2001,open_defecation,34.0000,34.4653,0.4653,WHO GHO (rounded) vs World Bank WDI
ERI,2005,open_defecation,76.0000,76.4652,0.4652,WHO GHO (rounded) vs World Bank WDI
VUT,2004,open_defecation,1.0000,0.5352,0.4648,WHO GHO (rounded) vs World Bank WDI
GAB,2020,open_defecation,1.0000,1.4646,0.4646,WHO GHO (rounded) vs World Bank WDI
GIN,2021,open_defecation,7.0000,7.4646,0.4646,WHO GHO (rounded) vs World Bank WDI
VEN,2000,open_defecation,9.0000,9.4646,0.4646,WHO GHO (rounded) vs World Bank WDI
ZMB,2008,open_defecation,20.0000,19.5359,0.4641,WHO GHO (rounded) vs World Bank WDI
SLV,2006,open_defecation,6.0000,6.4640,0.4640,WHO GHO (rounded) vs World Bank WDI
TCD,2005,open_defecation,70.0000,69.5360,0.4640,WHO GHO (rounded) vs World Bank WDI
BEN,2021,open_defecation,50.0000,49.5361,0.4639,WHO GHO (rounded) vs World Bank WDI
MLI,2019,open_defecation,7.0000,6.5362,0.4638,WHO GHO (rounded) vs World Bank WDI
BOL,2014,open_defecation,16.0000,16.4635,0.4635,WHO GHO (rounded) vs World Bank WDI
LCA,2003,open_defecation,7.0000,7.4634,0.4634,WHO GHO (rounded) vs World Bank WDI
BDI,2001,open_defecation,3.0000,2.5368,0.4632,WHO GHO (rounded) vs World Bank WDI
GIN,2008,open_defecation,20.0000,20.4632,0.4632,WHO GHO (rounded) vs World Bank WDI
PNG,2023,open_defecation,16.0000,15.5368,0.4632,WHO GHO (rounded) vs World Bank WDI
GUY,2018,open_defecation,0.0000,0.4630,0.4630,WHO GHO (rounded) vs World Bank WDI
VUT,2003,open_defecation,1.0000,0.5372,0.4628,WHO GHO (rounded) vs World Bank WDI
CUW,2008,open_defecation,1.0000,0.5375,0.4625,WHO GHO (rounded) vs World Bank WDI
LBR,2020,open_defecation,37.0000,37.4625,0.4625,WHO GHO (rounded) vs World Bank WDI
IRN,2000,open_defecation,1.0000,0.5376,0.4624,WHO GHO (rounded) vs World Bank WDI
IRN,2008,open_defecation,0.0000,0.4621,0.4621,WHO GHO (rounded) vs World Bank WDI
NAM,2010,open_defecation,48.0000,47.5379,0.4621,WHO GHO (rounded) vs World Bank WDI
TUR,2006,open_defecation,0.0000,0.4619,0.4619,WHO GHO (rounded) vs World Bank WDI
VUT,2002,open_defecation,1.0000,0.5392,0.4608,WHO GHO (rounded) vs World Bank WDI
VEN,2013,open_defecation,5.0000,4.5393,0.4607,WHO GHO (rounded) vs World Bank WDI
BWA,2009,open_defecation,15.0000,14.5395,0.4605,WHO GHO (rounded) vs World Bank WDI
NRU,2012,open_defecation,1.0000,1.4605,0.4605,WHO GHO (rounded) vs World Bank WDI
UGA,2012,open_defecation,8.0000,8.4605,0.4605,WHO GHO (rounded) vs World Bank WDI
KHM,2003,open_defecation,77.0000,77.4604,0.4604,WHO GHO (rounded) vs World Bank WDI
SOM,2011,open_defecation,37.0000,36.5396,0.4604,WHO GHO (rounded) vs World Bank WDI
THA,2009,open_defecation,1.0000,0.5396,0.4604,WHO GHO (rounded) vs World Bank WDI
BEN,2014,open_defecation,56.0000,55.5399,0.4601,WHO GHO (rounded) vs World Bank WDI
