fac_id,name,city,country,continent,net_count,ix_count,carrier_count,latitude,longitude,source
14352,Start Campus SIN01,Sines,PT,Europe,4,3,3,37.935144,-8.815555,"PeeringDB, peeringdb.com/api"
14354,CtrlS Chennai DC1,Chennai,IN,Asia Pacific,7,0,0,13.107271,80.163027,"PeeringDB, peeringdb.com/api"
14355,CtrlS Chennai DC2,Chennai,IN,Asia Pacific,13,2,1,13.107271,80.163027,"PeeringDB, peeringdb.com/api"
14362,Equinix SH3 - Shanghai,Shanghai,CN,Asia Pacific,1,0,0,31.248494,121.619756,"PeeringDB, peeringdb.com/api"
14366,REN Datacenter Riba de Ave,Vila Nova de Famalicao,PT,Europe,3,0,0,41.403943,-8.391101,"PeeringDB, peeringdb.com/api"
14369,Equinix SH1 - Shanghai,Shanghai,CN,Asia Pacific,0,0,0,,,"PeeringDB, peeringdb.com/api"
14370,Equinix SH2 - Shanghai,Shanghai,CN,Asia Pacific,0,0,0,,,"PeeringDB, peeringdb.com/api"
14371,Equinix SH6 - Shanghai,Shangai,CN,Asia Pacific,1,0,0,,,"PeeringDB, peeringdb.com/api"
14372,Bangladesh Submarine Cables PLC - Dhaka,Dhaka,BD,Asia Pacific,6,1,0,23.770507,90.407997,"PeeringDB, peeringdb.com/api"
14374,Castle-IT Tours,Larcay,FR,Europe,1,0,1,47.349585,0.769303,"PeeringDB, peeringdb.com/api"
