landing_point_id,name,longitude,latitude,source
mallaig-united-kingdom,Mallaig  United Kingdom,-5.820429453909197,57.008477935490994,"TeleGeography Submarine Cable Map, submarinecablemap.com"
scarinish-united-kingdom,Scarinish  United Kingdom,-6.808514691440399,56.503788111663106,"TeleGeography Submarine Cable Map, submarinecablemap.com"
calgary-united-kingdom,Calgary  United Kingdom,-6.272382258741658,56.582123807892486,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ludag-united-kingdom,Ludag  United Kingdom,-7.328143229579688,57.10553545436941,"TeleGeography Submarine Cable Map, submarinecablemap.com"
balla-united-kingdom,Balla  United Kingdom,-7.312176444016704,57.0815220684469,"TeleGeography Submarine Cable Map, submarinecablemap.com"
north-bay-united-kingdom,North Bay  United Kingdom,-7.449481034248839,57.02529080676931,"TeleGeography Submarine Cable Map, submarinecablemap.com"
bay-of-tuquoy-united-kingdom,Bay of Tuquoy  United Kingdom,-2.939523291645224,59.27976761462974,"TeleGeography Submarine Cable Map, submarinecablemap.com"
aikerness-bay-united-kingdom,Aikerness Bay  United Kingdom,-3.095076000000142,59.11804019999936,"TeleGeography Submarine Cable Map, submarinecablemap.com"
portachur-point-united-kingdom,Portachur Point  United Kingdom,-4.943867574873866,55.74276545167681,"TeleGeography Submarine Cable Map, submarinecablemap.com"
coilleag-united-kingdom,Coilleag  United Kingdom,-7.302215513573107,57.07361367890789,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ardbeg-point-united-kingdom,Ardbeg Point  United Kingdom,-5.063594052558523,55.858590024607395,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ardyne-point-united-kingdom,Ardyne Point  United Kingdom,-5.019990567822677,55.86941315469073,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ardgour-united-kingdom,Ardgour  United Kingdom,-5.233662291455637,56.72156793829049,"TeleGeography Submarine Cable Map, submarinecablemap.com"
raglan-new-zealand,Raglan  New Zealand,174.87182535450324,-37.8013819587598,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ola-russia,Ola  Russia,151.2833655022884,59.5833440417752,"TeleGeography Submarine Cable Map, submarinecablemap.com"
okha-russia,Okha  Russia,142.94245344231877,53.5775487202457,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ust-bolsheretsk-russia,Ust-Bolsheretsk  Russia,156.28707289511507,52.812414384362135,"TeleGeography Submarine Cable Map, submarinecablemap.com"
porthcressa-beach-united-kingdom,Porthcressa Beach  United Kingdom,-6.308173249011959,49.919905077432276,"TeleGeography Submarine Cable Map, submarinecablemap.com"
mogadishu-somalia,Mogadishu  Somalia,45.344182738099455,2.041189900937192,"TeleGeography Submarine Cable Map, submarinecablemap.com"
satun-thailand,Satun  Thailand,100.06611799999914,6.613467,"TeleGeography Submarine Cable Map, submarinecablemap.com"
rayong-thailand,Rayong  Thailand,101.27734623952158,12.670662766448473,"TeleGeography Submarine Cable Map, submarinecablemap.com"
uturoa-french-polynesia,Uturoa  French Polynesia,-151.4430374751281,-16.73090937041819,"TeleGeography Submarine Cable Map, submarinecablemap.com"
vaitape-french-polynesia,Vaitape  French Polynesia,-151.7495313986299,-16.506324613958466,"TeleGeography Submarine Cable Map, submarinecablemap.com"
nasugbu-philippines,Nasugbu  Philippines,120.62301068928154,14.088187386038742,"TeleGeography Submarine Cable Map, submarinecablemap.com"
pinamalayan-philippines,Pinamalayan  Philippines,121.46453896997501,13.045778897500922,"TeleGeography Submarine Cable Map, submarinecablemap.com"
roxas-city-philippines,Roxas City  Philippines,122.74998727810134,11.583305826411662,"TeleGeography Submarine Cable Map, submarinecablemap.com"
masbate-city-philippines,Masbate City  Philippines,123.61668588287377,12.36672505260177,"TeleGeography Submarine Cable Map, submarinecablemap.com"
legazpi-city-philippines,Legazpi City  Philippines,123.74373657411985,13.139089344982024,"TeleGeography Submarine Cable Map, submarinecablemap.com"
calbayog-philippines,Calbayog  Philippines,124.60027893608729,12.069906190827878,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ormoc-philippines,Ormoc  Philippines,124.61277892723209,11.006888634178475,"TeleGeography Submarine Cable Map, submarinecablemap.com"
cebu-philippines,Cebu  Philippines,123.89461537348717,10.310033388932034,"TeleGeography Submarine Cable Map, submarinecablemap.com"
cadiz-city-philippines,Cadiz City  Philippines,123.29998688847635,10.950026359206582,"TeleGeography Submarine Cable Map, submarinecablemap.com"
dumaguete-philippines,Dumaguete  Philippines,123.28143221412073,9.295611105669924,"TeleGeography Submarine Cable Map, submarinecablemap.com"
ozamiz-city-philippines,Ozamiz City  Philippines,123.84998649885156,8.15002871017614,"TeleGeography Submarine Cable Map, submarinecablemap.com"
cagayan-de-oro-philippines,Cagayan de Oro  Philippines,124.6319195386728,8.454228346754538,"TeleGeography Submarine Cable Map, submarinecablemap.com"
butuan-city-philippines,Butuan City  Philippines,125.54061030119786,8.947615403087521,"TeleGeography Submarine Cable Map, submarinecablemap.com"
san-jose-de-buenavista-philippines,San Jose de Buenavista  Philippines,121.94129644473541,10.748806024464415,"TeleGeography Submarine Cable Map, submarinecablemap.com"
santiago-de-cuba-cuba,Santiago de Cuba  Cuba,-75.82897360919968,20.028793830551784,"TeleGeography Submarine Cable Map, submarinecablemap.com"
killala-ireland,Killala  Ireland,-9.23219461510775,54.20682940735113,"TeleGeography Submarine Cable Map, submarinecablemap.com"
